Tariff item number,,,Description of goods,Product specific rules
,62.12,,"Brassières, girdles, corsets, braces,suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted.","CC, provided that, where non- originating materials of heading50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08,
 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,,,,
,62.13,,Handkerchiefs.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.14,,"Shawls, scarves, mufflers, mantillas, veils and the like.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.15,,"Ties, bow ties and cravats.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through"
,,,,
,,,,"51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,62.16,6216,"Gloves, mittens and mitts.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
,,,,
,62.17,,"Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven entirely in one or more of the
 Parties."
Chapter 63,,,"Other made up textile articles; sets; worn clothing and worn textile
 articles; rags",
,63.01,,Blankets and traveling rugs.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.02,,"Bed linen, table linen, toilet linen and kitchen linen.","CC, provided that, where"
,,,,
,,,,"non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.03,,Curtains (including drapes) and interior blinds; curtain or bed valances.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.04,,"Other furnishing articles, excluding those of heading 94.04.","CC, provided that, where non- originating materials of"
,,,,
,,,,"heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.05,,"Sacks and bags, of a kind used for the packing of goods.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.06,,"Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping goods.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08"
,,,,
,,,,"through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.07,,"Other made up articles, including dress patterns.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07 through 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.08,6308,"Sets consisting of woven fabric and yarn, whether or not with accessories, for making up into rugs, tapestries,
 embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale.","CC, provided that, where non-originati ng materials of heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07 through"
,,,,
,,,,"54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in one or more of the Parties."
,63.09,6309,Worn clothing and other worn articles.,WO
,63.1,,"Used or new rags, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials.",WO
"Section XII Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair (chapter 64-67)",,,,
Chapter 64,,,"Footwear, gaiters and the like; parts of such articles",CC
Chapter 65,,,Headgear and parts thereof,
,65.01,6501,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt.",CC
,65.02,6502,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed.",CC
,65.03,6503,"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 65.01, whether or not lined or trimmed.",CTH
,65.04,6504,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed.",CTH
,65.05,,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed.",CTH
,65.06,,"Other headgear, whether or not lined or trimmed.",CTH
,65.07,6507,"Head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for head-gear.",CTH
,,,,
"Section XIII Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware (chapter 68-70)",,,,
Chapter 70,,,Glass and glassware,
,70.18,,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares, and articles thereof other than imitation jewellery; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass, other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter.",
,,7018.1,"- Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares",CC
,,7018.9,"- Other
 Note: Other than glass beads, imitation pearls, imitation precious or semi-precious stones, similar glass smallwares and glass microspheres not exceeding 1 mm in diameter.",CC
"Section XIV Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin (chapter 71)",,,,
Chapter 71,,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",
,71.01,,"Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport.",CC
,71.03,,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily strung for convenience of transport.",CC
,71.13,,"Articles of jewellery and parts thereof, of precious metal or of metal clad with precious metal.",CC
,71.14,,"Articles of goldsmiths' or
 silversmiths’ wares and parts thereof, of precious metal or of metal clad with precious metal.",CC
,71.15,,Other articles of precious metal or of metal clad with precious metal.,CC
,71.16,,"Articles of natural or cultured pearls,",CC
,,,,
,,,"precious or semi-precious stones (natural, synthetic or reconstructed).",
Section XV Base metals and articles of base metal (chapter 72-83),,,,
Chapter 72,,,Iron and steel,
,72.01,,"Pig iron and spiegeleisen in pigs, blocks or other primary forms.",RVC 40% or CC
,72.02,,Ferro-alloys.,RVC 40% or CC
,72.03,,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94%, in lumps, pellets or similar forms.",RVC 40% or CC
,72.04,,Ferrous waste and scrap; remelting scrap ingots of iron or steel.,RVC 40% or CC
,72.05,,"Granules and powders, of pig iron, spiegeleisen, iron or steel.",RVC 40% or CC
,72.06,,Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading 72.03).,RVC 40% or CC
,72.07,,Semi-finished products of iron or non-alloy steel.,RVC 40%
,72.08,,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.",RVC 40%
,72.09,,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.",RVC 40% or CC
,72.1,,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",RVC 40% or CC
,72.11,,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.",RVC 40%
,72.12,,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",RVC 40% or CC
,72.13,,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel.",RVC 40%
,72.14,,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.",RVC 40%
,72.15,,Other bars and rods of iron or non-alloy steel.,RVC 40%
,72.16,,"Angles, shapes and sections of iron or non-alloy steel.",RVC 40%
,72.17,,Wire of iron or non-alloy steel.,RVC 40% or CC
,72.18,,Stainless steel in ingots or other,RVC 40% or CC
,,,,
,,,primary forms; semi-finished products of stainless steel.,
,72.19,,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",RVC 40% or CC
,72.2,,"Flat-rolled products of stainless steel, of a width of less than 600 mm.",RVC 40% or CC
,72.21,7221,"Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel.",RVC 40% or CC
,72.22,,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel.",
,,,"-Bars and rods, not further worked than hot-rolled, hot-drawn or extruded:",
,,7222.11,-- Of circular cross-section,RVC 40% or CC
,,7222.19,-- Other,RVC 40% or CC
,,7222.3,- Other bars and rods,RVC 40% or CC
,,7222.4,"- Angles, shapes and sections",RVC 40% or CC
,72.25,,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",RVC 40% or CC
,72.26,,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",RVC 40% or CC
,72.27,,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel.",RVC 40% or CC
,72.28,,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.",RVC 40% or CC
,72.29,,Wire of other alloy steel.,RVC 40% or CC
Chapter 73,,,Articles of iron or steel,
,73.01,,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel.",RVC 40%
,73.02,,"Railway or tramway track construction material of iron or steel, the following:rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chairs wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialised for jointing or fixing rails.",RVC 40%
,73.03,7303,"Tubes, pipes and hollow profiles, of cast iron.",RVC 40%
,73.04,,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.",RVC 40%
,73.05,,"Other tubes and pipes (for example,",RVC 40%
,,,,
,,,"welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",
,73.06,,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.",
,,7306.1,- Line pipe of a kind used for oil or gas pipelines,RVC 40%
,,7306.2,- Casing and tubing of a kind used in drilling for oil or gas,RVC 40%
,,7306.3,"- Other, welded, of circular cross-section, of iron or non-alloy steel",RVC 40%
,,7306.4,"- Other, welded, of circular cross-section, of stainless steel",RVC 40%
,,7306.5,"- Other, welded, of circular cross-section, of other alloy steel",RVC 40%
,,7306.6,"- Other, welded, of non-circular
 cross-section",RVC 40%
,,7306.9,- Other,"RVC 40% orCC except from heading 72.08, 72.09 or 72.11."
,73.07,,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or steel.",
,,,- Cast fittings:,
,,7307.11,-- Of non-malleable cast iron,RVC 40%
,,7307.19,-- Other,RVC 40%
,,,"- Other, of stainless steel:",
,,7307.21,-- Flanges,RVC 40%
,,7307.22,"-- Threaded elbows, bends and sleeves",RVC 40%
,,7307.23,-- Butt welding fittings,RVC 40%
,,7307.29,-- Other,RVC 40% or CC
,,,- Other:,
,,7307.91,-- Flanges,RVC 40%
,,7307.92,"-- Threaded elbows, bends and sleeves",RVC 40%
,,7307.93,-- Butt welding fittings,RVC 40%
,,7307.99,-- Other,RVC 40%
,73.08,,"Structures (excluding prefabricated buildings of heading 94.06) and parts of structures (for example, bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frame-works, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns), of iron or steel; plates, rods, angles, shapes, sections, tubes",
,,,,
,,,"and the like, prepared for use in structures, of iron or steel.",
,,7308.1,- Bridges and bridge-sections,RVC 40%
,,7308.2,- Towers and lattice masts,RVC 40%
,,7308.3,"- Doors, windows and their frames and thresholds for doors",RVC 40%
,,7308.4,"- Equipment for scaffolding, shuttering, propping or pitpropping",RVC 40%
,,7308.9,- Other,"RVC 40% or CTH except from heading 72.08 through 72.12, or 72.16."
,73.09,7309,"Reservoirs, tanks, vats and similar containers for any material (other than compressed or liquefied gas), of iron or steel, of a capacity exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment.",RVC 40%
,73.1,,"Tanks, casks, drums, cans, boxes and similar containers, for any material (other than compressed or liquefied gas), of iron or steel, of a capacity not exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment.",RVC 40%
,73.11,7311,"Containers for compressed or liquefied gas, of iron or steel.",RVC 40%
,73.12,,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated.",RVC 40%
,73.13,7313,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely twisted double wire, of a kind used for fencing, of iron or steel.",RVC 40%
,73.14,,"Cloth (including endless bands), grill, netting and fencing, of iron or steel wire; expanded metal of iron or steel.",RVC 40%
,73.15,,"Chain and parts thereof, of iron or steel.",
,,,- Articulated link chain and parts thereof:,
,,7315.11,-- Roller chain,RVC 40%
,,7315.12,-- Other chain,RVC 40%
,,7315.19,-- Parts,RVC 40%
,,7315.2,- Skid chain,RVC 40%
,,,- Other chain:,
,,7315.81,-- Stud-link,RVC 40%
,,7315.82,"-- Other, welded link",RVC 40%
,,7315.89,-- Other,RVC 40% or CC except from
,,,,
,,,,heading 72.13 through 72.17.
,,7315.9,- Other parts,RVC 40%
,73.16,7316,"Anchors, grapnels and parts thereof, of iron or steel.",RVC 40%
,73.17,7317,"Nails, tacks, drawing pins, corrugated nails, staples (other than those of heading 83.05) and similar articles, of iron or steel, whether or not with heads of other material, but excluding such articles with heads of copper.",RVC 40%
,73.18,,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel.",
,,,- Threaded articles:,
,,7318.11,-- Coach screws,RVC 40%
,,7318.12,-- Other wood screws,RVC 40%
,,7318.13,-- Screw hooks and screw rings,RVC 40%
,,7318.14,-- Self-tapping screws,RVC 40%
,,7318.15,"-- Other screws and bolts, whether or notwith their nuts or washers",RVC 40%
,,7318.16,-- Nuts,RVC 40%
,,7318.19,-- Other,RVC 40%
,,,- Non-threaded articles:,
,,7318.21,-- Spring washers and other lock washers,RVC 40%
,,7318.22,-- Other washers,RVC 40%
,,7318.23,-- Rivets,RVC 40%
,,7318.29,"-- Other
 Note: Other than spring washers and other lock washers, other washers, rivets, and cotters and cotter-pins.",RVC 40%
,73.19,,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, of iron or steel; safety pins and other pins of iron or steel, not elsewhere specified or included.",RVC 40%
,73.2,,"Springs and leaves for springs, of iron or steel.",
,,7320.1,- Leaf-springs and leaves therefor,RVC 40%
,,7320.2,- Helical springs,RVC 40%
,,7320.9,- Other,RVC 40% or CC except from heading72.08 through 72.17.
,73.21,,"Stoves, ranges, grates, cookers
 (including those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate",RVC 40%
,,,,
,,,"warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel.",
,73.22,,"Radiators for central heating, not electrically heated, and parts thereof, of iron or steel; air heaters and hot air distributors (including distributors which can also distribute fresh or conditioned air), not electrically heated, incorporating a motor-driven fan or blower, and parts thereof, of iron or steel.",RVC 40% or CC
,73.23,,"Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel.",RVC 40%
,73.24,,"Sanitary ware and parts thereof, of iron or steel.",RVC 40%
,73.25,,Other cast articles of iron or steel.,RVC 40%
,73.26,,Other articles of iron or steel.,
,,,"- Forged or stamped, but not further worked:",
,,7326.11,-- Grinding balls and similar articles for mills,RVC 40%
,,7326.19,-- Other,RVC 40%
,,7326.2,- Articles of iron or steel wire:,RVC 40%
"Section XVI Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles (chapter 84-85)",,,,
Chapter 84,,,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",
,84.07,,Spark-ignition reciprocating or rotary internal combustion piston engines.,
,,,- Reciprocating piston engines of a kind used for the propulsion of vehicles of Chapter 87:,
,,8407.31,-- Of a cylinder capacity not exceeding 50 cc,RVC 40%
,,8407.32,-- Of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,RVC 40%
,,8407.33,"-- Of a cylinder capacity exceeding 250 cc but not exceeding 1,000 cc",RVC 40%
,,8407.34,"-- Of a cylinder capacity exceeding 1,000 cc",RVC 40%
,84.08,,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines).,
,,8408.2,- Engines of a kind used for the propulsion of vehicles of Chapter 87,RVC 40%
,84.15,,"Airconditioning machines, comprising",
,,,,
,,,"a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",
,,8415.2,"- Of a kind used for persons, in motor vehicles",RVC 40%
,84.73,,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.69 to 84.72.",
,,8473.3,- Parts and accessories of the machines of heading 84.71,RVC 40% or CTH except from heading 85.42.
Chapter 85,,,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",
,85.23,,"Prepared unrecorded media for sound recording or similar recording of other phenomena, other than products of
 Chapter 37.",
,,8523.9,"- Other
 Note: Other than magnetic tapes, magnetic discs and cards incorporating a magnetic stripe.",RVC 40% or CTH except from heading 85.42.
,85.28,,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; video monitors and video projectors.",
,,,"- Reception apparatus for television, whether or not incorporating radio- broadcast receivers or sound or video recording or reproducing apparatus:",
,,8528.12,-- Colour,RVC 40%
,85.42,,Electronic integrated circuits and microassemblies.,
,,8542.1,"- Cards incorporating an electronic integrated circuit (""smart"" cards)",RVC 40% or CTH except from heading 85.42.
,85.43,,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter.",
,,,- Other machines and apparatus:,
,,8543.81,-- Proximity cards and tags,RVC 40% or CTH except from heading 85.42.
,,,,
,,8543.89,-- Other,RVC 40% or CTH except from heading 85.42.
,,8543.9,- Parts,RVC 40% or CTH except from heading 85.42.
"Section XVII Vehicles, aircraft, vessels and associated transport equipment (chapter 86-89)",,,,
Chapter 87,,,"Vehicles other than railway or tramway rolling-stock, and parts and
 accessories thereof",
,87.01,,Tractors (other than tractors of heading 87.09).,
,,8701.2,- Road tractors for semi-trailers,RVC 40%
,87.02,,"Motor vehicles for the transport of ten or more persons, including the driver.",RVC 40%
,87.03,,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",RVC 40%
,87.04,,Motor vehicles for the transport of goods.,RVC 40%
,87.06,8706,"Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",RVC 40%
,87.07,,"Bodies (including cabs), for the motor vehicles of headings 87.01 to 87.05.",RVC 40%
,87.08,,Parts and accessories of the motor vehicles of headings 87.01 to 87.05.,RVC 40%
,87.11,,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",RVC 40%
,87.14,,Parts and accessories of vehicles of headings 87.11 to 87.13.,
,,,- Of motorcycles (including mopeds):,
,,8714.11,-- Saddles,RVC 40%
,,8714.19,-- Other,RVC 40%
,,,- Other,
,,8714.91,"-- Frames and forks, and parts thereof",RVC 40%
,,8714.92,-- Wheel rims and spokes,RVC 40%
"Section XVIII Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof (chapter 90-92)",,,,
Chapter 91,,,Clocks and watches and parts thereof,
,91.13,,"Watch straps, watch bands and watch bracelets, and parts thereof.",
,,9113.9,"-Other
 Note: Other than watch straps, watch bands and watch bracelets, and parts thereof, of precious metal or of metal clad with precious",CC
,,,,
,,,"metal,and of base metal, whether or not gold- or silver-plated.",
Section XX Miscellaneous manufactured articles (chapter 94-96),,,,
Chapter 94,,,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or
 included; illuminated signs, illuminated name-plates and the like; prefabricated buildings",
,94.01,,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",
,,9401.1,- Seats of a kind used for aircraft,RVC 40% or CTSH
,,9401.2,- Seats of a kind used for motor vehicles,RVC 40% or CTSH
,,9401.3,"- Swivel seats with variable height
 adjustment",RVC 40% or CTSH
,,9401.4,"- Seats other than garden seats or camping equipment, convertible into beds",RVC 40% or CTSH
,,9401.5,"- Seats of cane, osier, bamboo or similar materials",RVC 40% or CTSH
,,,"- Other seats, with wooden frames:",
,,9401.61,-- Upholstered,RVC 40% or CTSH
,,9401.69,-- Other,RVC 40% or CTSH
,,,"- Other seats, with metal frames:",
,,9401.71,-- Upholstered,RVC 40% or CTSH
,,9401.79,-- Other,RVC 40% or CTSH
,,9401.8,- Other seats,RVC 40% or CTSH
,,9401.9,- Parts,CC
,94.02,,"Medical, surgical, dental or veterinary furniture (for example, operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and elevating movements; parts of the foregoing articles.",RVC 40% or CTSH
,94.03,,Other furniture and parts thereof.,
,,9403.1,-Metal furniture of a kind used in offices,RVC 40% or CTSH
,,9403.2,- Other metal furniture,RVC 40% or CTSH
,,9403.6,- Other wooden furniture,RVC 40% or CTSH
,,9403.7,- Furniture of plastics,RVC 40% or CTSH
,,9403.8,"- Furniture of other materials, including cane, osier, bamboo or
 similar materials",RVC 40% or CTSH
,94.04,,"Mattress supports; articles of bedding and similar furnishing (for example,",
,,,"mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered.",
,,,- Mattresses,
,,9404.21,"-- Of cellular rubber or plastics,
 whether or not covered",CC
,,9404.29,-- Of other materials,CC
,,9404.9,"- Other
 Note: Other than mattress supports, mattresses and sleeping bag.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11,
 54.07 through
 54.08, or
 55.12 through 55.16 for quilts and eiderdowns. CTH for any other good."
,94.06,9406,Prefabricated buildings.,RVC 40% or CTSH
Chapter 96,,,Miscellaneous manufactured articles,
,96.05,9605,"Travel sets for personal toilet, sewing or shoe or clothes cleaning.",CC
,96.08,,"Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating stylos; propelling or sliding pencils; pen-holders, pencil-holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 96.09.",RVC 40% or CTSH
,96.09,,"Pencils (other than pencils of heading 96.08), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors’ chalks.",RVC 40% or CTSH
,96.13,,"Cigarette lighters and other lighters, whether or not mechanical or electrical, and parts thereof other than flints and wicks.",
,,9613.1,"- Pocket lighters, gas fuelled,
 non-refillable",RVC 40% or CTSH
,,9613.2,"- Pocket lighters, gas fuelled,
 refillable",RVC 40% or CTSH
,,9613.8,- Other lighters,RVC 40% or CTSH